Entity,Code,Date,"Daily new confirmed cases of COVID-19 (rolling 3-day average, right-aligned)",Notes
Turkey,TUR,"Apr 1, 2020",2043,
Turkey,TUR,"Apr 2, 2020",2154,
Turkey,TUR,"Apr 3, 2020",2436,
Turkey,TUR,"Apr 4, 2020",2463.33333,
Turkey,TUR,"Apr 5, 2020",2751.66667,
Turkey,TUR,"Apr 6, 2020",2978,
Turkey,TUR,"Apr 7, 2020",3098.66667,
Turkey,TUR,"Apr 8, 2020",3391.66667,
Turkey,TUR,"Apr 9, 2020",3719,
Turkey,TUR,"Apr 10, 2020",4021.66667,
Turkey,TUR,"Apr 11, 2020",4306.66667,
Turkey,TUR,"Apr 12, 2020",4647,
Turkey,TUR,"Apr 13, 2020",4891.33333,
Turkey,TUR,"Apr 14, 2020",4673.33333,
Turkey,TUR,"Apr 15, 2020",4314.66667,
Turkey,TUR,"Apr 16, 2020",4145.33333,
Turkey,TUR,"Apr 17, 2020",4381.33333,
Turkey,TUR,"Apr 18, 2020",4478.33333,
Turkey,TUR,"Apr 19, 2020",4312.33333,
Turkey,TUR,"Apr 20, 2020",4037.66667,
Turkey,TUR,"Apr 21, 2020",4144.66667,
Turkey,TUR,"Apr 22, 2020",4420.66667,
Turkey,TUR,"Apr 23, 2020",4122.66667,
Turkey,TUR,"Apr 24, 2020",3603.33333,
Turkey,TUR,"Apr 25, 2020",3107,
Turkey,TUR,"Apr 26, 2020",3033,
Turkey,TUR,"Apr 27, 2020",2780,
Turkey,TUR,"Apr 28, 2020",2449.66667,
Turkey,TUR,"Apr 29, 2020",2293.33333,
Turkey,TUR,"Apr 30, 2020",2486.33333,
Turkey,TUR,"May 1, 2020",2647.66667,
Turkey,TUR,"May 2, 2020",2579.66667,
Turkey,TUR,"May 3, 2020",2262,
Turkey,TUR,"May 4, 2020",1947,
Turkey,TUR,"May 5, 2020",1755.66667,
Turkey,TUR,"May 6, 2020",1705.33333,
Turkey,TUR,"May 7, 2020",1899.66667,
Turkey,TUR,"May 8, 2020",2020.66667,
Turkey,TUR,"May 9, 2020",2026,
Turkey,TUR,"May 10, 2020",1790.33333,
Turkey,TUR,"May 11, 2020",1645.33333,
Turkey,TUR,"May 12, 2020",1400.66667,
Turkey,TUR,"May 13, 2020",1453.33333,
Turkey,TUR,"May 14, 2020",1485.66667,
Turkey,TUR,"May 15, 2020",1659.33333,
Turkey,TUR,"May 16, 2020",1660.66667,
Turkey,TUR,"May 17, 2020",1651,
Turkey,TUR,"May 18, 2020",1562,
Turkey,TUR,"May 19, 2020",1378.66667,
Turkey,TUR,"May 20, 2020",1182.66667,
Turkey,TUR,"May 21, 2020",1050.66667,
Turkey,TUR,"May 22, 2020",985,
Turkey,TUR,"May 23, 2020",961.66667,
Turkey,TUR,"May 24, 2020",1033,
Turkey,TUR,"May 25, 2020",1093,
Turkey,TUR,"May 26, 2020",1104.66667,
Turkey,TUR,"May 27, 2020",1025.33333,
Turkey,TUR,"May 28, 2020",990,
Turkey,TUR,"May 29, 2020",1055,
Turkey,TUR,"May 30, 2020",1119.33333,
Turkey,TUR,"May 31, 2020",1102,
Turkey,TUR,"Jun 1, 2020",987.66667,
Turkey,TUR,"Jun 2, 2020",883,
Turkey,TUR,"Jun 3, 2020",817.33333,
Turkey,TUR,"Jun 4, 2020",826.66667,
Turkey,TUR,"Jun 5, 2020",880.33333,
