Time,PopTotal
2020,1094365.605
2025,1241173.739
2030,1399888.471
2035,1569045.563
2040,1746496.1030000001
2045,1930190.616
2050,2117730.886
2055,2307230.067
2060,2496582.852
2065,2684012.245
2070,2867347.3989999997
2075,3044554.038
2080,3213530.1180000002
2085,3372147.5730000003
2090,3519135.875
2095,3653665.1339999996
2100,3775269.514
