Time,PopTotal
2020,1094365.605
2025,1248507.424
2030,1418193.7780000002
2035,1603222.6
2040,1801309.678
2045,2011554.8269999998
2050,2232632.617
2055,2466040.478
2060,2707307.5710000005
2065,2953248.064
2070,3211138.9280000003
2075,3471277.055
2080,3731714.227
2085,3996012.74
2090,4260409.846
2095,4517432.583000001
2100,4779563.302
