Entity,Code,Year,Oil (terrawatt-hours),Coal (terrawatt-hours),Gas (terrawatt-hours),Hydropower (terrawatt-hours),Nuclear (terrawatt-hours),Solar (terrawatt-hours),Wind (terrawatt-hours),Other renewables (terawatt-hours)
Sri Lanka,LKA,2007,52.49813003583339,0.49720343400000006,0,10.411771612368375,0,0.015727526315789372,0.0060677541052631305,0.002894736842105252
Sri Lanka,LKA,2008,47.70733959944444,0.670338081,0,10.892612923105226,0,0.016776663157894688,0.008530911999999962,0.0150526315789473
Sri Lanka,LKA,2009,50.26947600472226,0.6822809280000001,0,10.23976597752628,0,0.017862642105263036,0.009214335157894701,0.06055263157894715
Sri Lanka,LKA,2010,49.96103270341664,0.697008070269,0,14.854103306894723,0,0.01893546315789471,0.13989854568420976,0.08555263157894699
Sri Lanka,LKA,2011,53.23019336488885,3.4785080536500006,0,12.062872801999944,0,0.022931968421052565,0.24110644042105162,0.08322631578947337
Sri Lanka,LKA,2012,55.189333689638865,5.30318311047,0,8.689904005157862,0,0.026336368421052532,0.38633617515789376,0.05834999999999977
Sri Lanka,LKA,2013,46.58912106929998,5.5788775056,0,18.234848741999976,0,0.03785031578947351,0.6173203856842086,0.06944473684210495
Sri Lanka,LKA,2014,40.38388185624997,10.7072019495,0,12.006969794631527,0,0.07390531578947337,0.7169835435789442,0.10892894736842067
Sri Lanka,LKA,2015,50.13356929555557,14.409015597900002,0,15.73655263157893,0,0.12821052631578897,0.9031842105263125,0.15081578947368332
Sri Lanka,LKA,2016,58.941130529050476,15.254024300000001,0,11.135631578947319,0,0.21834210526315725,0.9075526315789441,0.18936842105263127
Sri Lanka,LKA,2017,63.123751296024494,16.0335195176568,0,10.565656123721585,0,0.3913833995513176,0.9744060741328875,0.189831367272846
Sri Lanka,LKA,2018,62.129076794782435,13.73305802164522,0,16.76150042404587,0,0.5403626595585422,0.8043741825467148,0.29840431489051233
Sweden,SWE,1965,229.70324708041355,25.92704975,0,122.24293,0.046520000000000006,0,0,0
Sweden,SWE,1966,259.6566750759189,24.74041759,0,119.82389000000002,0.12793,0,0,0
Sweden,SWE,1967,258.78038286310385,24.55677989,0,129.76754,0.12793,0,0,0
Sweden,SWE,1968,292.7101614170422,21.45431457,0,128.38357,0.05815000000000001,0,0,0
Sweden,SWE,1969,313.5150529882097,20.94909574,0,110.14773000000001,0.16282000000000002,0,0,0
Sweden,SWE,1970,341.1420870844399,22.1301455,0,109.32200000000002,0.13956000000000002,0,0,0.3421052631578934
Sweden,SWE,1971,320.8070892992797,19.949357680000002,0,136.93162,0.23260000000000003,0,0,0.42105263157894574
Sweden,SWE,1972,329.2850976222433,17.13963109,0,141.51384,3.8611600000000004,0,0,0.5947368421052605
Sweden,SWE,1973,336.591812556547,18.94521185,0,157.64465,5.55914,0,0,1.0499999999999958
Sweden,SWE,1974,302.3184918213913,20.93002254,0,150.79458,5.4079500000000005,0,0,0.9394736842105224
Sweden,SWE,1975,301.48468842865725,22.575237230000003,0,151.80639000000002,31.505670000000002,0,0,0.8157894736842074
Sweden,SWE,1976,332.4261641072374,21.671342,0,144.39808000000002,42.08897,0,0,0.931578947368418
Sweden,SWE,1977,322.3305029657876,17.201967890000002,0,140.87419,52.41641,0,0,0.9473684210526279
