Time,PopTotal
2020,1094365.605
2025,1233912.265
2030,1380959.3830000001
2035,1533438.382
2040,1689092.39
2045,1843951.65
2050,1996828.926
2055,2145837.681
2060,2287422.328
2065,2420392.734
2070,2540030.86
2075,2649952.897
2080,2749912.845
2085,2827731.856
2090,2890894.2630000003
2095,2937522.437
2100,2973169.4039999996
